ref_peperiksaan__kod_pusat,,,,,,,,,,,,,,,,,
id,no_sekolah,kod_pusat,id_jenis_calon,nama_pusat,nama_pusat_i18n,jumlah_calon,id_sekolah,id_tahun_peperiksaan,id_bilik_kebal,ids_mata_pelajaran,id_status_pendaftaran,id_status_pendaftaran_calon,id_status_janaan_angka_giliran,id_status_tempoh_pendaftaran,status,created_at,updated_at
48,1,AQ61,7,SABK MAAHAD AL-TARBIAH AL-ISLAMIAH,NULL,60,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
49,1,AQ62,7,SABK MAAHAD AL-MAARIF AL-ISLAMIAH,NULL,31,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
50,1,AQ63,7,SABK ADDINIAH,sdasda,18,1,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",1,2,1,1,1,2021-07-15 06:07:56,2021-07-21 05:26:21
51,6,AQ63,13,SABK ADDINIAH,NULL,7,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
53,1,AQ64,7,SABK MAAHAD AL-KHAIR LIL BANAT,NULL,37,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
54,6,AQ64,13,SABK MAAHAD AL-KHAIR LIL BANAT,NULL,4,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
55,1,AQ65,7,SABK SYUBBANIAH,NULL,14,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
56,1,AQ65,13,SABK SYUBBANIAH,NULL,6,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
57,1,AQ71,7,SABK TAN SRI GHAZALI JAWI,NULL,15,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
58,6,AQ71,13,SABK TAN SRI GHAZALI JAWI,NULL,4,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
59,1,AQ81,10,SM RAJA DR. NAZRIN SHAH,NULL,21,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
60,1,BQ11,7,SAMT SULTAN HISAMUDDIN JALAN KOTA RAJA,NULL,54,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
61,6,BQ11,13,SAMT SULTAN HISAMUDDIN JALAN KOTA RAJA,NULL,13,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
62,1,BQ12,7,KOLEJ ISLAM SULTAN ALAM SHAH,كلية سلطان علم شاه الإسلامية,32,1,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",1,2,1,1,1,2021-07-15 06:07:56,2021-07-16 15:17:09
63,1,BQ21,7,SEKOLAH AGAMA MENENGAH TINGGI TENGKU,NULL,118,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
64,6,BQ21,13,SEKOLAH AGAMA MENENGAH TINGGI TENGKU,NULL,22,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
65,1,BQ31,7,SEKOLAH AGAMA MENENGAH JERAM,NULL,76,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
66,6,BQ31,13,SEKOLAH AGAMA MENENGAH JERAM,NULL,4,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
67,1,BQ41,7,SAMT KUALA KUBU BHARU,NULL,69,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
68,6,BQ41,13,SAMT KUALA KUBU BHARU,NULL,5,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
